Longitude,Latitude,UTC_Time,Mean,UTMX,UTMY
-111.9900079,33.0743062,135845,44.57142857,407593.3123,3659960.288
-111.9900078,33.074298,135846,43.42857143,407593.313,3659959.379
-111.9900072,33.0742899,135847,41.15384615,407593.3606,3659958.481
-111.9900068,33.0742816,135848,40.78571429,407593.3892,3659957.56
-111.9900073,33.0742734,135849,40.07692308,407593.334,3659956.651
-111.9900077,33.0742649,135850,39.92857143,407593.2878,3659955.709
-111.9900069,33.0742565,135851,39.07142857,407593.3536,3659954.777
-111.9900067,33.0742481,135852,38.61538462,407593.3635,3659953.846
-111.9900062,33.0742398,135853,36.42857143,407593.4015,3659952.925
-111.9900048,33.0742314,135854,37.35714286,407593.5234,3659951.993
-111.9900062,33.0742228,135855,37.07692308,407593.3837,3659951.041
-111.9900065,33.0742143,135856,38.35714286,407593.3469,3659950.098
-111.9900053,33.0742064,135857,36.61538462,407593.4506,3659949.222
-111.9900053,33.0741983,135858,35.78571429,407593.4421,3659948.323
-111.9900046,33.07419,135859,32.42857143,407593.4988,3659947.403
-111.9900048,33.0741816,135900,32.92307692,407593.4714,3659946.472
-111.9900053,33.0741732,135901,32.64285714,407593.4159,3659945.541
-111.9900041,33.0741651,135902,35.21428571,407593.5194,3659944.642
-111.9900021,33.0741568,135903,36.46153846,407593.6975,3659943.72
-111.9900011,33.0741482,135904,35.92857143,407593.7818,3659942.765
-111.9900032,33.0741397,135905,33.53846154,407593.5769,3659941.825
-111.9900045,33.0741312,135906,35.92857143,407593.4467,3659940.884
-111.9900039,33.0741229,135907,32.92857143,407593.494,3659939.963
-111.9900048,33.0741143,135908,33,407593.401,3659939.01
-111.9900051,33.0741057,135909,35.28571429,407593.364,3659938.057
-111.9900052,33.0740975,135910,33.64285714,407593.3461,3659937.148
-111.9900058,33.074089,135911,34.07692308,407593.2812,3659936.206
-111.990006,33.0740806,135912,33.07142857,407593.2537,3659935.275
-111.9900082,33.0740725,135913,33.46153846,407593.0399,3659934.379
-111.9900096,33.0740643,135914,36.28571429,407592.9007,3659933.471
-111.990009,33.0740562,135915,36.64285714,407592.9482,3659932.572
-111.9900087,33.0740477,135916,36.92307692,407592.9673,3659931.63
-111.9900077,33.0740392,135917,38.42857143,407593.0518,3659930.686
-111.9900086,33.0740308,135918,38.84615385,407592.959,3659929.756
-111.9900094,33.0740227,135919,39.57142857,407592.8758,3659928.859
-111.990008,33.0740147,135920,36.64285714,407592.9982,3659927.97
-111.9900063,33.0740063,135921,36.61538462,407593.1481,3659927.038
-111.9900052,33.0739977,135922,34.78571429,407593.2417,3659926.083
-111.9900048,33.0739894,135923,34.35714286,407593.2704,3659925.163
-111.9900039,33.0739811,135924,32.30769231,407593.3457,3659924.242
-111.990004,33.0739728,135925,32.64285714,407593.3277,3659923.322
-111.9900038,33.0739645,135926,33.30769231,407593.3377,3659922.401
-111.9900033,33.0739562,135927,36.35714286,407593.3757,3659921.481
-111.9900028,33.0739477,135928,35,407593.4135,3659920.538
-111.9900027,33.0739392,135929,35.84615385,407593.4139,3659919.595
-111.990002,33.0739312,135930,34,407593.4709,3659918.708
-111.9900024,33.0739231,135931,33.42857143,407593.4251,3659917.81
-111.9900022,33.0739147,135932,32.84615385,407593.435,3659916.879
-111.9900022,33.0739064,135933,34.07142857,407593.4263,3659915.958
-111.9900022,33.0738981,135934,33.76923077,407593.4176,3659915.038
