Longitude,Latitude,Elevation,mEast,mNorth,Fix_Type,UTC_Time,Speed,Course,SF_1,SF_2,SF_3,SF_4,F14,F15
-111.97478,33.079015,358.54,409019.5601,3660469.064,2,183747.4,0.08,336.1,0,VERT,QUAD,62,,
-111.97478,33.079015,358.48,409019.5973,3660469.042,2,183748.2,0.02,239.2,0,VERT,QUAD,61,,
-111.97478,33.079015,358.42,409019.5974,3660469.053,2,183748.4,0.47,327.8,0,VERT,QUAD,62,,
-111.97478,33.079015,358.43,409019.6066,3660469.042,2,183748.6,0.62,142.3,0,VERT,QUAD,61,,
-111.974779,33.079015,358.24,409019.681,3660469.008,2,183749.2,0.04,300.3,0,VERT,QUAD,62,,
-111.974779,33.079015,358.22,409019.6809,3660468.997,2,183749.6,0.37,156.4,0,VERT,QUAD,62,,
-111.974778,33.079015,358.1,409019.7368,3660468.985,2,183750.2,0.03,303.8,0,VERT,QUAD,62,,
-111.974778,33.079015,358.07,409019.7274,3660468.985,2,183750.4,0.19,307.3,0,VERT,QUAD,61,,
-111.974778,33.079014,358.07,409019.7367,3660468.974,2,183750.6,0.33,139.5,0,VERT,QUAD,62,,
-111.974778,33.079014,358.01,409019.7646,3660468.963,2,183751.2,0.05,313.2,0,VERT,QUAD,62,,
-111.974778,33.079014,357.98,409019.7645,3660468.952,2,183751.6,0.39,169.5,0,VERT,QUAD,62,,
-111.974778,33.079014,357.96,409019.7831,3660468.952,2,183752.2,0.05,3.3,0,VERT,QUAD,62,,
-111.974778,33.079014,357.91,409019.7738,3660468.952,2,183752.4,0.34,343.8,0,VERT,QUAD,62,,
-111.974778,33.079014,357.91,409019.783,3660468.94,2,183752.6,0.52,166.8,0,VERT,QUAD,62,,
-111.974778,33.079014,357.92,409019.7924,3660468.94,2,183753.2,0.04,187.2,0,VERT,QUAD,62,,
-111.974778,33.079014,357.93,409019.8016,3660468.929,2,183753.6,0.5,173,0,VERT,QUAD,62,,
-111.974778,33.079014,357.89,409019.8017,3660468.94,2,183753.8,0.54,335,0,VERT,QUAD,62,,
-111.974778,33.079014,357.89,409019.8109,3660468.929,2,183754.2,0.04,15.1,0,VERT,QUAD,62,,
-111.974778,33.079014,357.84,409019.811,3660468.94,2,183755.4,0.3,325.6,0,VERT,QUAD,62,,
-111.974777,33.079014,357.85,409019.8202,3660468.929,2,183755.8,0.13,301.4,0,VERT,QUAD,62,,
-111.974777,33.079014,357.85,409019.8204,3660468.94,2,183756.6,0.35,151.2,0,VERT,QUAD,62,,
-111.974777,33.079014,357.83,409019.8205,3660468.951,2,183757.4,0.34,327.7,0,VERT,QUAD,62,,
-111.974777,33.079014,357.85,409019.8298,3660468.951,2,183800.6,0.4,145.7,0,VERT,QUAD,62,,
-111.974777,33.079014,357.84,409019.8297,3660468.94,2,183801.6,0.55,183.1,0,VERT,QUAD,62,,
-111.974777,33.079014,357.89,409019.8299,3660468.962,2,183802.2,0.11,270.1,0,VERT,QUAD,62,,
-111.974777,33.079014,357.84,409019.8392,3660468.962,2,183802.6,0.46,140.3,0,VERT,QUAD,62,,
-111.974777,33.079014,357.85,409019.8391,3660468.951,2,183802.8,0.12,143.8,0,VERT,QUAD,62,,
-111.974777,33.079014,357.86,409019.83,3660468.973,2,183803,0.31,326.2,0,VERT,QUAD,62,,
-111.974777,33.079014,357.87,409019.8393,3660468.973,2,183803.6,0.77,152.9,0,VERT,QUAD,62,,
-111.974777,33.079015,357.86,409019.8394,3660468.984,2,183803.8,0.34,323,0,VERT,QUAD,62,,
-111.974777,33.079015,357.75,409019.8301,3660468.984,2,183804.4,0.19,25.7,0,VERT,QUAD,63,,
-111.974777,33.079014,357.76,409019.8206,3660468.962,2,183804.8,0.26,228.2,0,VERT,QUAD,62,,
-111.974777,33.079015,357.73,409019.8208,3660468.984,2,183805.2,0.19,194,0,VERT,QUAD,62,,
-111.974777,33.079015,357.71,409019.8209,3660468.996,2,183805.4,0.24,2.2,0,VERT,QUAD,62,,
-111.974777,33.079014,357.7,409019.8207,3660468.973,2,183805.6,0.31,181.2,0,VERT,QUAD,62,,
-111.974778,33.079015,357.61,409019.8115,3660468.996,2,183808.4,0.16,12.6,0,VERT,QUAD,62,,
-111.974778,33.079015,357.72,409019.8114,3660468.985,2,183816,0.11,298.2,0,VERT,QUAD,62,,
-111.974777,33.079015,357.71,409019.8302,3660468.995,2,183819.2,0.05,253.4,0,VERT,QUAD,62,,
-111.974777,33.079015,357.7,409019.8303,3660469.007,2,183819.4,0.12,351.3,0,VERT,QUAD,62,,
-111.974777,33.079015,357.72,409019.8395,3660468.995,2,183820,0.07,21.7,0,VERT,QUAD,62,,
-111.974777,33.079015,357.71,409019.8396,3660469.006,2,183820.2,0.09,273.7,0,VERT,QUAD,62,,
-111.974777,33.079015,357.72,409019.8489,3660468.995,2,183820.6,0.16,172.1,0,VERT,QUAD,62,,
-111.974777,33.079015,357.71,409019.849,3660469.006,2,183820.8,0.2,46.7,0,VERT,QUAD,62,,
-111.974777,33.079015,357.7,409019.8583,3660469.006,2,183824,0.02,106.5,0,VERT,QUAD,62,,
-111.974777,33.079015,357.69,409019.8488,3660468.984,2,183825.2,0.03,23.5,0,VERT,QUAD,62,,
-111.974777,33.079014,357.69,409019.8487,3660468.973,2,183825.6,0.19,171.2,0,VERT,QUAD,62,,
-111.974777,33.079014,357.68,409019.8486,3660468.962,2,183828.6,0.14,95.7,0,VERT,QUAD,62,,
-111.974778,33.079014,357.68,409019.7926,3660468.963,2,183830,0.21,276.7,0,VERT,QUAD,63,,
-111.974778,33.079014,357.69,409019.8019,3660468.962,2,183830.2,0.14,90,0,VERT,QUAD,64,,
-111.974778,33.079014,357.67,409019.7925,3660468.951,2,183830.6,0.35,187,0,VERT,QUAD,62,,
-111.978862,33.079003,358.03,408638.5693,3660471.202,1,185254.8,0.63,77,0,VERT,QUAD,35,,
-111.978862,33.079003,358.04,408638.5599,3660471.202,1,185255.4,0.11,225,0,VERT,QUAD,34,,
-111.978862,33.079003,358,408638.5506,3660471.202,1,185255.6,0.07,304.4,0,VERT,QUAD,34,,
-111.978862,33.079002,358.01,408638.5597,3660471.18,1,185255.8,0.47,169.6,0,VERT,QUAD,34,,
-111.978862,33.079002,358.01,408638.5504,3660471.18,1,185256.6,0.59,168.5,0,VERT,QUAD,34,,
-111.978862,33.079002,358.02,408638.5505,3660471.191,1,185257,0.15,275.1,0,VERT,QUAD,35,,
-111.978862,33.079003,358.05,408638.5319,3660471.202,1,185257.4,0.3,318.4,0,VERT,QUAD,34,,
