Year,SOIL_DATE,Plot,Core,Depth,SLSND,SLSLT,SLCLY,SLSND2,SLSLT2,SLCLY2,UTMX,UTMY
2016,2016-05-01,302,2016-p03-2,60,57.6,12.0,30.4,66.7,13.1,20.2,408928.253,3660503.132
2016,2016-05-01,302,2016-p03-2,100,56.6,14.0,29.4,64.7,18.7,16.7,408928.253,3660503.132
2016,2016-05-01,302,2016-p03-2,140,69.2,15.0,15.8,79.0,17.2,3.8,408928.253,3660503.132
2016,2016-05-01,302,2016-p03-2,180,67.8,14.1,18.2,76.8,16.2,7.0,408928.253,3660503.132
2016,2016-05-01,303,2016-p03-3,20,53.5,15.3,31.2,63.5,17.0,19.5,408927.6437,3660463.129
2016,2016-05-01,303,2016-p03-3,60,58.8,20.3,20.9,67.5,23.4,9.0,408927.6437,3660463.129
2016,2016-05-01,303,2016-p03-3,100,53.9,20.7,25.4,63.5,24.7,11.9,408927.6437,3660463.129
2016,2016-05-01,303,2016-p03-3,140,69.9,16.7,13.4,80.0,15.7,4.3,408927.6437,3660463.129
2016,2016-05-01,303,2016-p03-3,180,72.3,13.3,14.4,81.3,12.5,6.3,408927.6437,3660463.129
2016,2016-05-01,304,2016-p03-4,20,57.8,13.3,28.9,63.7,22.9,13.4,408927.0353,3660423.126
2016,2016-05-01,304,2016-p03-4,60,62.5,20.7,16.9,69.5,21.0,9.4,408927.0353,3660423.126
2016,2016-05-01,304,2016-p03-4,100,62.1,21.0,16.9,67.8,22.8,9.4,408927.0353,3660423.126
2016,2016-05-01,304,2016-p03-4,140,67.8,11.3,20.9,75.8,14.4,9.7,408927.0353,3660423.126
2016,2016-05-01,304,2016-p03-4,180,59.1,20.0,20.9,69.2,21.8,9.0,408927.0353,3660423.126
2016,2016-05-01,401,2016-p04-1,20,56.2,21.6,22.2,66.5,23.6,10.0,408914.3534,3660543.355
2016,2016-05-01,401,2016-p04-1,60,51.2,14.3,34.5,60.5,19.4,20.1,408914.3534,3660543.355
2016,2016-05-01,401,2016-p04-1,100,48.5,23.3,28.2,57.9,29.3,12.7,408914.3534,3660543.355
2016,2016-05-01,401,2016-p04-1,140,58.8,14.0,27.2,67.6,17.7,14.6,408914.3534,3660543.355
2016,2016-05-01,401,2016-p04-1,180,75.2,12.7,12.2,84.0,12.2,3.8,408914.3534,3660543.355
2016,2016-05-01,402,2016-p04-2,20,48.5,19.7,31.8,58.4,19.5,22.1,408913.7599,3660503.352
2016,2016-05-01,402,2016-p04-2,60,63.2,15.0,21.8,71.7,16.6,11.7,408913.7599,3660503.352
2016,2016-05-01,402,2016-p04-2,100,57.8,18.3,23.9,65.7,23.4,10.9,408913.7599,3660503.352
2016,2016-05-01,402,2016-p04-2,140,74.1,14.0,11.9,82.9,14.0,3.1,408913.7599,3660503.352
2016,2016-05-01,402,2016-p04-2,180,78.5,8.7,12.9,86.0,10.2,3.8,408913.7599,3660503.352
2016,2016-05-01,403,2016-p04-3,20,52.5,14.7,32.9,59.2,19.8,21.0,408913.1438,3660463.35
2016,2016-05-01,403,2016-p04-3,60,57.5,21.4,21.2,68.0,21.7,10.3,408913.1438,3660463.35
2016,2016-05-01,403,2016-p04-3,100,55.8,23.1,21.2,64.6,27.5,7.8,408913.1438,3660463.35
2016,2016-05-01,403,2016-p04-3,140,72.8,15.1,12.2,83.9,12.3,3.8,408913.1438,3660463.35
2016,2016-05-01,403,2016-p04-3,180,78.5,11.4,10.2,89.1,8.1,2.8,408913.1438,3660463.35
2016,2016-05-01,404,2016-p04-4,20,51.1,20.0,28.9,60.7,22.1,17.1,408912.5287,3660423.347
2016,2016-05-01,404,2016-p04-4,60,57.1,22.0,20.9,67.1,22.5,10.5,408912.5287,3660423.347
2016,2016-05-01,404,2016-p04-4,100,55.8,19.3,24.9,61.6,26.4,12.0,408912.5287,3660423.347
2016,2016-05-01,404,2016-p04-4,140,70.5,10.7,18.9,77.8,12.2,10.0,408912.5287,3660423.347
2016,2016-05-01,404,2016-p04-4,180,51.8,20.3,27.9,57.6,26.9,15.5,408912.5287,3660423.347
2016,2016-05-01,501,2016-p05-1,20,47.8,23.4,28.8,57.3,26.1,16.6,408859.2529,3660544.193
2016,2016-05-01,501,2016-p05-1,60,57.5,16.3,26.2,67.4,18.0,14.7,408859.2529,3660544.193
2016,2016-05-01,501,2016-p05-1,100,59.5,23.3,17.2,69.5,24.6,5.9,408859.2529,3660544.193
2016,2016-05-01,501,2016-p05-1,140,56.2,23.7,20.2,65.4,26.0,8.5,408859.2529,3660544.193
2016,2016-05-01,501,2016-p05-1,180,65.2,15.7,19.2,74.8,14.5,10.7,408859.2529,3660544.193
2016,2016-05-01,502,2016-p05-2,20,51.5,22.3,26.2,60.4,23.8,15.8,408858.6465999999,3660504.19
2016,2016-05-01,502,2016-p05-2,60,61.9,16.3,21.8,72.7,15.5,11.7,408858.6465999999,3660504.19
2016,2016-05-01,502,2016-p05-2,100,69.5,13.7,16.8,80.0,12.1,7.8,408858.6465999999,3660504.19
2016,2016-05-01,502,2016-p05-2,140,69.1,16.0,14.9,79.9,14.5,5.6,408858.6465999999,3660504.19
2016,2016-05-01,502,2016-p05-2,180,57.5,22.6,19.9,68.3,24.4,7.3,408858.6465999999,3660504.19
2016,2016-05-01,503,2016-p05-3,20,51.1,19.0,29.9,61.1,20.1,18.8,408858.0344,3660464.188
2016,2016-05-01,503,2016-p05-3,60,56.8,16.3,26.9,66.5,17.3,16.2,408858.0344,3660464.188
2016,2016-05-01,503,2016-p05-3,100,52.2,17.6,30.2,60.5,22.8,16.7,408858.0344,3660464.188
2016,2016-05-01,503,2016-p05-3,140,55.9,21.0,23.2,65.5,25.0,9.6,408858.0344,3660464.188
2016,2016-05-01,503,2016-p05-3,180,67.5,17.3,15.2,77.0,17.9,5.1,408858.0344,3660464.188
2016,2016-05-01,504,2016-p05-4,20,55.2,20.0,24.8,66.4,20.7,13.0,408857.4408,3660424.185
2016,2016-05-01,504,2016-p05-4,60,65.9,14.7,19.4,76.9,12.5,10.6,408857.4408,3660424.185
2016,2016-05-01,504,2016-p05-4,100,71.5,10.7,17.8,82.1,10.3,7.5,408857.4408,3660424.185
2016,2016-05-01,504,2016-p05-4,140,69.2,12.0,18.8,79.0,13.2,7.8,408857.4408,3660424.185
2016,2016-05-01,504,2016-p05-4,180,69.9,17.3,12.8,79.0,17.9,3.1,408857.4408,3660424.185
2016,2016-05-01,601,2016-p06-1,20,50.8,18.3,30.9,61.9,21.3,16.8,408845.0346,3660544.409
2016,2016-05-01,601,2016-p06-1,60,52.8,23.3,23.9,64.0,22.8,13.2,408845.0346,3660544.409
2016,2016-05-01,601,2016-p06-1,100,55.8,20.4,23.9,66.5,23.2,10.3,408845.0346,3660544.409
2016,2016-05-01,601,2016-p06-1,140,72.1,13.0,14.9,82.9,14.0,3.1,408845.0346,3660544.409
2016,2016-05-01,601,2016-p06-1,180,74.5,13.4,12.2,82.1,13.7,4.3,408845.0346,3660544.409
2016,2016-05-01,602,2016-p06-2,20,50.5,17.7,31.8,59.3,20.9,19.8,408844.4375,3660504.407
2016,2016-05-01,602,2016-p06-2,60,53.9,19.9,26.2,63.5,21.9,14.6,408844.4375,3660504.407
2016,2016-05-01,602,2016-p06-2,100,66.1,20.0,13.9,75.8,20.7,3.6,408844.4375,3660504.407
2016,2016-05-01,602,2016-p06-2,140,53.5,24.6,21.9,63.1,27.6,9.3,408844.4375,3660504.407
2016,2016-05-01,602,2016-p06-2,180,60.1,17.0,22.9,68.6,21.8,9.6,408844.4375,3660504.407
2016,2016-05-01,603,2016-p06-3,20,53.5,17.0,29.4,62.5,18.3,19.2,408843.8294,3660464.404
2016,2016-05-01,603,2016-p06-3,60,57.5,17.3,25.2,66.6,20.4,13.0,408843.8294,3660464.404
