"","UTMX","UTMY","SLSND015","SLSND045","SLSND075","SLSND105","SLSND135","SLSND165","SLSLT015","SLSLT045","SLSLT075","SLSLT105","SLSLT135","SLSLT165","SLCLY015","SLCLY045","SLCLY075","SLCLY105","SLCLY135","SLCLY165","SLWP1015","SLWP1045","SLWP1075","SLWP1105","SLWP1135","SLWP1165","SLWP2015","SLWP2045","SLWP2075","SLWP2105","SLWP2135","SLWP2165","SLFC1015","SLFC1045","SLFC1075","SLFC1105","SLFC1135","SLFC1165"
"1",409282,3659143,62.1817093976558,58.9121596255842,55.5987194726788,68.1692161845496,73.1477157027904,63.5901928545857,10.2843244045083,9.8301251118389,14.6742276134828,11.5776235298749,8.75989967114877,11.3643193249828,29.4594486986883,32.9228175842181,28.9990848001631,20.1643372893681,18.0864339791209,24.3258352802182,0.130924810612286,0.160009735639395,0.164925915980361,0.117612998813629,0.128160304410674,0.161391613675744,0.156499041003353,0.181380858648506,0.210106799102003,0.149396274892741,0.153379437341069,0.238667038634887,0.189920698946351,0.234676444061931,0.262537169001809,0.192284876379375,0.16560041305728,0.264033742222297
"2",409283,3659143,62.2196363899161,58.8182825506194,55.7120608886396,68.1741298650733,73.1188624608942,63.3726320843841,10.3262046381465,9.96600773728168,14.6339889381196,11.5800031462626,8.86950769936039,11.4167487651725,29.1714365185676,32.8446062058629,28.9847937521109,20.1351005207429,18.1185466280114,24.4347219283991,0.131339904109931,0.160260661707767,0.164642547115744,0.118384747758347,0.128627517972636,0.161569913651288,0.159443131135932,0.183420413936954,0.210404526860795,0.150053904468934,0.153954790900036,0.237511082807018,0.191021136014541,0.235765670486332,0.26242362574971,0.191790179071138,0.164986070188525,0.264000847434259
"3",409284,3659143,62.253124399012,58.7292004118035,55.830902403929,68.1794178579267,73.0889770783348,63.1472734136642,10.3699397028889,10.0999791904543,14.592424586498,11.5822272902668,8.97528702692081,11.4714573614281,28.8837925044605,32.761130449019,28.9677386505258,20.1055391402538,18.1518577167746,24.5472329629863,0.131765567215074,0.160511441882321,0.164351963077429,0.119168899635308,0.12911066280781,0.161755145880975,0.162397578651205,0.185410835913329,0.210646314444096,0.150723441942521,0.154535194210825,0.236323482284544,0.192135866114787,0.236828953894511,0.262297806365443,0.191270217409898,0.16435395132211,0.263968481866126
"4",409285,3659143,62.2793008761812,58.6454196798795,55.9535535088294,68.1851345703962,73.0582621920188,62.9134470744104,10.4153596033788,10.2296539939404,14.5500382974078,11.5842716326568,9.07609263084801,11.5288090740499,28.6023812109285,32.6742303562393,28.9484268927978,20.0757549896321,18.1862536125605,24.6638447452856,0.132198896548549,0.160760253552829,0.164058959249868,0.119952048881829,0.129605582828619,0.161948141966996,0.165326700991159,0.187318217621053,0.210823524064953,0.151398086232958,0.155113360721406,0.235128025080442,0.193248500777582,0.237847187921782,0.262158380807175,0.190720202669902,0.163698460680539,0.26393704395569
"5",409286,3659143,62.2976819668468,58.5671662151782,56.0797911495866,68.1916638179881,73.0267529722792,62.6712533191004,10.4624153548189,10.3546613228748,14.5068861530206,11.5860685942902,9.17267316973583,11.5888687807597,28.3282645404033,32.5839407162777,28.9269497353317,20.0453291925162,18.2216750442464,24.7844707008893,0.132639542714621,0.161006703237561,0.163763985673554,0.120732174915787,0.130111801300605,0.162148800933754,0.168228200654739,0.189136819649653,0.210934239261283,0.152074858197216,0.15568996277119,0.233923160475534,0.194357430896696,0.238816805301125,0.262004988929662,0.190136723093525,0.163018074719683,0.263905903721682
"6",409287,3659143,62.3081453709242,58.4945994706434,56.209585336596,68.199446540008,72.9944650724498,62.420951122904,10.5110689539209,10.4749403861045,14.4629603091494,11.5875454827338,9.26601183955897,11.6516489504139,28.0618075061684,32.490038131486,28.9033564589153,20.0137473895222,18.2580609636403,24.9089156094552,0.133087508458887,0.161250610809312,0.163466885996745,0.121508747832315,0.130629345369858,0.162356855152547,0.171104926853462,0.190865140500693,0.210977749502898,0.152751301210008,0.156266703806556,0.232703516203901,0.195463243353955,0.2397366101237,0.26183747331754,0.189516472880171,0.162311904140667,0.263874279122928
"7",409288,3659143,62.3106744480035,58.4278439660136,56.3429403623283,68.2089324725566,72.9614143127054,62.1628938913538,10.5612803451546,10.5905272186465,14.4182376178122,11.5886325467987,9.35712751381852,11.7171374866236,27.8031964063052,32.39223015802,28.8776987911869,19.9804661211213,18.2953397647942,25.0369257680713,0.133542873591576,0.16149184853168,0.163167385368569,0.122281540098373,0.131158352283107,0.162571965311579,0.173961311951856,0.192502914189279,0.210953866475346,0.153425181888857,0.15684551019138,0.231462699778242,0.196567191624325,0.240606131402881,0.261655787741639,0.188856174480034,0.161579318224667,0.263841372409715
"8",409289,3659143,62.3052936135707,58.3670116069946,56.4798560613314,68.2205497130495,72.9276245797781,61.8975500518154,10.6130038877858,10.7015013687536,14.3726933960378,11.5892694883847,9.44703052005417,11.7852966864849,27.552577416443,32.2901864531949,28.8500365262719,19.9449450523571,18.3334221841641,25.1681809242415,0.134005726619206,0.161730279051236,0.162865248708254,0.123050386480728,0.131698974188496,0.162793729806175,0.176802488033596,0.194050324212724,0.210862799841639,0.154094606226331,0.157428427918264,0.230194112881941,0.197670891531906,0.241425193933662,0.261459981402328,0.188152708149021,0.160819962791609,0.263806431475737
"9",409290,3659143,62.2920394170829,58.3122540774811,56.6203094170635,68.2346606862948,72.8931398706806,61.6256180770938,10.6661833187709,10.8079586895035,14.3263128146913,11.5894164753102,9.53669840785306,11.8560409654138,27.3101492834492,32.1835062092262,28.8204268126273,19.9066844022352,18.3721839438016,25.3022308980728,0.13447612981438,0.161965666531034,0.162560441277343,0.123815132527561,0.132251331053004,0.163021637415087,0.179633954994593,0.195507492533604,0.210705256827231,0.15475847705484,0.158017777227777,0.228891482663008,0.198776334227927,0.242193631244464,0.261250205872592,0.187403505308368,0.1600340369406,0.263768808273577
"10",409291,3659143,62.2709271563573,58.2639473728296,56.7642247829474,68.2514480747448,72.8580630162727,61.3484665235291,10.7207327933818,10.9099653095352,14.2791201471279,11.5890850551455,9.62701208280504,11.9291494024892,27.076368692758,32.0715464891384,28.7888768500294,19.8653101249994,18.4114042485192,25.438248583211,0.134954058158389,0.162197397023567,0.162253560281613,0.124575605835189,0.132815424796943,0.16325485241813,0.182461407623863,0.1968733408055,0.210483030208605,0.155418036424351,0.158616815871394,0.22754979026109,0.199886240933055,0.242910617779309,0.26102675595534,0.186607863786126,0.159223328972943,0.263728064305038
