"","UTMX","UTMY","SLSND015","SLSND045","SLSND075","SLSND105","SLSND135","SLSND165","SLSND195","SLSND225","SLSND255","SLSND285","SLSLT015","SLSLT045","SLSLT075","SLSLT105","SLSLT135","SLSLT165","SLSLT195","SLSLT225","SLSLT255","SLSLT285","SLCLY015","SLCLY045","SLCLY075","SLCLY105","SLCLY135","SLCLY165","SLCLY195","SLCLY225","SLCLY255","SLCLY285","SLWP1015","SLWP1045","SLWP1075","SLWP1105","SLWP1135","SLWP1165","SLWP2015","SLWP2045","SLWP2075","SLWP2105","SLWP2135","SLWP2165","SLFC1015","SLFC1045","SLFC1075","SLFC1105","SLFC1135","SLFC1165"
"1",409090,3659260,65.7230351480767,62.4156614510598,57.4261170864222,56.1503574439196,60.7332609907549,66.1592650189431,70.4367579652555,73.8112358148585,62.1983902888353,65.7346274974826,14.4368390620008,15.5208462112645,17.9447951534046,16.369023866386,15.3697990015789,12.4063493266054,10.065284496077,8.19898980119696,13.731172785937,14.2019767604695,19.7855828593333,23.070965667587,24.8526488211705,27.9944314641998,23.2441297848253,21.6156399449477,19.4010762517995,19.5775226555935,22.5847952284415,20.9918043800192,0.0695812943837478,0.0749899997913316,0.0842832776841171,0.0843862030541172,0.0829933264128784,0.07208583473108,0.0777913135765524,0.0833193580267212,0.0999223467234043,0.0970515136660656,0.095512975596482,0.0854894808691962,0.136929207442882,0.148258776324053,0.165082139217927,0.171848514915661,0.163886633992882,0.137911453305362
"2",409091,3659260,65.5603858482739,62.3101061235817,57.1401145604769,55.9725363045637,60.6244392444247,66.1471506613913,70.5832712010228,73.8538691973739,61.3400964946527,65.4009234191392,14.4935787025866,15.5791778052314,18.0069561395727,16.4473913462933,15.4219442636278,12.4457475906518,9.98766806759162,8.24024799131265,14.0373973068987,14.3315323964123,19.8656449253342,23.3727451990578,24.9293537198861,28.1157657685226,23.2468106985136,21.6425992665195,19.3403660387812,19.3928800566712,22.8903795884465,20.7513138333729,0.0696305975542304,0.0751370174110313,0.0843918641529028,0.0844774783079101,0.0829699826959883,0.071992262174811,0.0779855947795107,0.0837350890333794,0.100797508322419,0.0971938911174102,0.0958011656721287,0.0854781369603586,0.137278973047813,0.148653304820359,0.166329742282633,0.172423445755491,0.164525924272135,0.137797702017783
"3",409092,3659260,65.4144124364078,62.2031293972833,56.9069832308035,55.7723915623179,60.5361991933841,66.1420110802037,70.7185134137205,73.8813326726326,60.5363658909801,65.1087891620527,14.5539081593749,15.6531988461859,18.0627914361963,16.5451778893458,15.4680328005377,12.4513066991491,9.91625288071291,8.27747321248535,14.3146154324381,14.4439593915711,19.9343836722803,23.6674900590263,24.9953997715725,28.2481545288873,23.2464340793539,21.6652932526344,19.2891101054363,19.2537553363224,23.2153425433526,20.5581866511022,0.0696694285886117,0.0752641877993681,0.0844572938399901,0.0845533441682664,0.0828963180341457,0.0718754927319976,0.0781791072380029,0.0841262859090637,0.101409464546401,0.0973189767903183,0.0960173854225032,0.0854831868824856,0.137536546961263,0.14898993531633,0.167599904761474,0.172961153326177,0.164994024224922,0.137667208065746
"4",409093,3659260,65.2998608678666,62.1391396188174,56.8843758280191,55.5738802750178,60.5865720867255,66.1539312432394,70.6723352921698,73.7254960898007,60.0423769912785,65.1003047532941,14.5822330333519,15.683773531152,18.0620888717975,16.5800903870736,15.4242471448759,12.3878284271265,9.91637148999909,8.32589121711011,14.4241328235432,14.4289377012545,20.0025052982304,23.8274647407154,25.0493418520715,28.4194558553648,23.2365431269803,21.6727926433703,19.2869144050596,19.354227540652,23.6611906014398,20.622886400166,0.0696853898975225,0.0753276224631451,0.0844647224045449,0.0846420128885055,0.0827763263840195,0.0717756971557349,0.078338884052749,0.0843868321668989,0.101637892428869,0.0974496331735612,0.0961365590200497,0.0855645700080428,0.137676913566271,0.149120648714026,0.168507006563747,0.173484417654329,0.165178962254479,0.137565057593704
"5",409094,3659260,65.2218672730107,62.1417522806927,56.9899138750456,55.4198604573654,60.758793377414,66.1687285632035,70.5323847293253,73.4719261255414,59.7279242713714,65.2500763568399,14.5796092929766,15.6532035366388,18.0060457630521,16.5100406413863,15.2931188705633,12.3363575327041,9.95444918593227,8.37785357424841,14.4369444261341,14.3442471248629,20.0671289053676,23.5749834839657,25.1087932902067,28.6163162639329,23.2200078928138,21.6695134173094,19.3135765338907,19.5940577707772,24.175088177407,20.8363584784971,0.0696765727572565,0.0753111623728721,0.0844407134452675,0.0847780434911963,0.0826438297639954,0.0717409399036527,0.0784363484667463,0.0844536724322612,0.101609557451838,0.0976174157897063,0.0961884612714885,0.0857536974536514,0.137757577903024,0.148985276143246,0.16874096118208,0.174049024646083,0.165136619367391,0.137536877204484
"6",409095,3659260,65.1526192941923,62.1444826860105,57.1021624640977,55.257372845258,60.9331713671724,66.1863147576629,70.4030166554888,73.2237463005321,59.4345849406731,65.4076323873976,14.5765314579379,15.6275740472597,17.9477910290609,16.4434054649654,15.1606675503258,12.2706805940022,9.98993719950963,8.42405456573418,14.4393906328729,14.2580539364203,20.1270405177525,23.3502317375168,25.1646686867974,28.8188820772515,23.2036171171333,21.6645161456659,19.3445402190518,19.8515794440992,24.6929662277994,21.066590742909,0.0696635589562995,0.0752886449814344,0.0844025237198816,0.084906940654559,0.0824875624007497,0.0716957973811521,0.0785302441316242,0.0845110269476319,0.101488355496436,0.0977771552821465,0.0962077908848103,0.0859468654305776,0.137807850334095,0.14883517292349,0.168980447669886,0.174602166056081,0.165036819173136,0.137500674884356
"7",409096,3659260,65.0896359986058,62.147475854068,57.2041750806301,55.0907518464654,61.1024500641415,66.2049703591865,70.2928834627637,72.9905356924079,59.1451451714321,65.5584042077645,14.5725639624926,15.6045511540885,17.889485059209,16.3759191386487,15.0297793719733,12.1988832171545,10.0186988635543,8.46355875801923,14.4409559391134,14.1756352588279,20.1838848667785,23.1513637958088,25.2194112304023,29.0248343416738,23.1884522902135,21.6588456337749,19.3771831474039,20.1130332891928,25.2074165898866,21.2990307777945,0.0696483471672434,0.0752644318365666,0.084359222498243,0.085031349118584,0.0823159046243481,0.0716442807711362,0.0786197840015644,0.0845636896033321,0.10132765909492,0.0979318019436908,0.0962069686306917,0.0861401579251218,0.137846871000403,0.148683760148755,0.169220674997233,0.175151956481145,0.164915082139922,0.137459132455992
"8",409097,3659260,65.0317660733016,62.1509572449245,57.2917553063445,54.9215591431262,61.2651361063861,66.2242017957669,70.2015109420866,72.7727126639754,58.8565311402376,65.7012984521443,14.5672098489168,15.5827910293543,17.8315667641479,16.3053711821658,14.9009002618451,12.1231082873753,10.0402040875354,8.4962378288349,14.4434056992638,14.0961154643683,20.2385613817432,22.9768001608912,25.2737545170672,29.2334836085118,23.1748669897562,21.6528102610817,19.4110794419216,20.3754416058667,25.7167807721944,21.5309692210772,0.0696317543197885,0.0752401185621758,0.0843140025572948,0.0851520110043272,0.0821325363497129,0.0715878491513248,0.0787046563908317,0.084613440408626,0.101146923915668,0.0980822223532382,0.0961908508060497,0.0863319815921141,0.137881787282502,0.148535855339044,0.169458542017504,0.17570065643094,0.164784767667101,0.137413326823101
"9",409098,3659260,64.9783221202033,62.1550433995472,57.3636260467345,54.7504353527881,61.420912072398,66.2437784760948,70.1273205043084,72.5693811576928,58.5679380145871,65.837287644515,14.5602954275144,15.5617048386365,17.7742211395311,16.2306875645308,14.7742341731627,12.0442199267044,10.0544652657839,8.52206666758025,14.4472472960078,14.0176992227693,20.2915284420395,22.8235778749283,25.3279302549657,29.4444307663933,23.162991377106,21.6465654903729,19.4461545663152,20.6375462099575,26.2203862126052,21.7616707135075,0.0696141978686147,0.0752163774580108,0.0842680408331803,0.0852690198843082,0.0819395102548993,0.071527109582498,0.0787847365250209,0.0846610668355934,0.100954020523518,0.0982285705584785,0.0961616976948926,0.0865214616130952,0.137915527147557,0.148393302814409,0.169691716839577,0.176248472437588,0.164651517198523,0.137363805627499
"10",409099,3659260,64.9287778990407,62.1597728352894,57.4193437497839,54.5776875963184,61.5697981401574,66.2635409286065,70.0687266209006,72.3794137319725,58.2791507621258,65.9678060656597,14.551865055611,15.5410850560408,17.7175993150236,16.1513103995723,14.6500044423956,11.9627046926049,10.0616023635154,8.54102722014681,14.4526484223545,13.9383647324046,20.3430311184096,22.6882572186304,25.3819894017065,29.6573229830524,23.1528615130775,21.6402383428534,19.4824217133592,20.8985336002737,26.7178577567684,21.9909665135804,0.0695959485830785,0.0751935648814078,0.0842217505003856,0.0853822058079094,0.0817382536250732,0.0714624049016434,0.078859980215858,0.0847070215100652,0.100752495096662,0.0983707083478525,0.0961207784929774,0.0867078497849793,0.137949311252718,0.148256796729675,0.169918109706993,0.176794695546993,0.164517883892998,0.137310995169693
