Year,SOIL_DATE,Core,Depth,SLSND,SLSLT,SLCLY,SLTX,SLWP1,SLWP2,SLFC1,UTMX,UTMY
2014,5/1/2014,2014-p02-1,75,50.4,18.72,30.88,Sandy Clay Loam,0.097087379,0.114907873,0.187362465,408983.43,3660409.241
2014,5/1/2014,2014-p02-1,105,60.4,12.72,26.88,Sandy Clay Loam,0.070498915,0.084367946,0.19005561,408983.43,3660409.241
2014,5/1/2014,2014-p02-1,135,55.12,18,26.88,Sandy Clay Loam,0.098116947,0.105318404,0.190744921,408983.43,3660409.241
2014,5/1/2014,2014-p02-1,165,33.12,26,40.88,Clay,0.131234524,0.148387097,0.248824451,408983.43,3660409.241
2014,5/1/2014,2014-p02-2,15,53.12,16,30.88,Sandy Clay Loam,0.096348096,0.104761905,0.178571429,408983.8941,3660438.444
2014,5/1/2014,2014-p02-2,45,43.12,16,40.88,Clay,0.126696833,0.146017699,0.231768953,408983.8941,3660438.444
2014,5/1/2014,2014-p02-2,75,52.4,20.72,26.88,Sandy Clay Loam,0.093067069,0.106090373,0.177132146,408983.8941,3660438.444
2014,5/1/2014,2014-p02-2,105,54.4,12.72,32.88,Sandy Clay Loam,0.090772693,0.10436079,0.16678273,408983.8941,3660438.444
2014,5/1/2014,2014-p02-2,135,60.4,20.72,18.88,Sandy Loam,0.094068304,0.10343677,0.178021978,408983.8941,3660438.444
2014,5/1/2014,2014-p02-2,165,58.4,14.72,26.88,Sandy Clay Loam,0.097467137,0.131520708,0.201010101,408983.8941,3660438.444
2014,5/1/2014,2014-p02-3,15,54.4,18.72,26.88,Sandy Clay Loam,0.109073959,0.114926896,0.181846932,408984.3026,3660467.648
2014,5/1/2014,2014-p02-3,45,56.4,16.72,26.88,Sandy Clay Loam,0.103543914,0.110528042,0.157844691,408984.3026,3660467.648
2014,5/1/2014,2014-p02-3,75,52.4,20.72,26.88,Sandy Clay Loam,0.131247753,0.143035343,0.228823766,408984.3026,3660467.648
2014,5/1/2014,2014-p02-3,105,46.4,20.72,32.88,Sandy Clay Loam,0.100199734,0.106967615,0.188345473,408984.3026,3660467.648
2014,5/1/2014,2014-p02-3,135,61.12,18,20.88,Sandy Clay Loam,0.078707224,0.078398195,0.122918881,408984.3026,3660467.648
2014,5/1/2014,2014-p02-3,165,69.12,10,20.88,Sandy Clay Loam,0.083224543,0.134296792,0.163163928,408984.3026,3660467.648
2014,5/1/2014,2014-p02-4,15,51.12,18,30.88,Sandy Clay Loam,0.111182519,0.121933878,0.180387012,408984.7907,3660496.851
2014,5/1/2014,2014-p02-4,45,51.12,14,34.88,Sandy Clay Loam,0.139400136,0.137533615,0.227039945,408984.7907,3660496.851
2014,5/1/2014,2014-p02-4,75,50.4,22.72,26.88,Sandy Clay Loam,0.138031693,0.140560748,0.227331887,408984.7907,3660496.851
2014,5/1/2014,2014-p02-4,105,42.4,22.72,34.88,Clay Loam,0.119136571,0.125145293,0.237681159,408984.7907,3660496.851
2014,5/1/2014,2014-p02-4,135,48.4,20.72,30.88,Sandy Clay Loam,0.099312124,0.099685205,0.209569733,408984.7907,3660496.851
2014,5/1/2014,2014-p02-4,165,62.4,12.72,24.88,Sandy Clay Loam,0.078897338,0.080963533,0.11963281,408984.7907,3660496.851
2014,5/1/2014,2014-p02-5,15,49.12,22,28.88,Sandy Clay Loam,0.107612457,0.121201025,0.181262729,408985.2136,3660526.054
2014,5/1/2014,2014-p02-5,45,51.12,16,32.88,Sandy Clay Loam,0.121703854,0.142150396,0.203611898,408985.2136,3660526.054
2014,5/1/2014,2014-p02-5,75,47.12,20,32.88,Sandy Clay Loam,0.132962805,0.156862745,0.239069111,408985.2136,3660526.054
2014,5/1/2014,2014-p02-5,105,49.12,14,36.88,Sandy Clay,0.12884117,0.143179765,0.21862043,408985.2136,3660526.054
2014,5/1/2014,2014-p02-5,135,57.12,14,28.88,Sandy Clay Loam,0.108160984,0.114634952,0.18153673,408985.2136,3660526.054
2014,5/1/2014,2014-p02-5,165,67.12,10,22.88,Sandy Clay Loam,0.083171521,0.103673189,0.132293292,408985.2136,3660526.054
2014,5/1/2014,2014-p02-6,15,51.12,20,28.88,Sandy Clay Loam,0.093419707,0.104011887,0.163309575,408985.6493,3660555.258
2014,5/1/2014,2014-p02-6,45,47.12,18,34.88,Sandy Clay Loam,0.119325551,0.142583365,0.215531988,408985.6493,3660555.258
2014,5/1/2014,2014-p02-6,75,37.12,24,38.88,Clay Loam,0.133421839,0.148243045,0.233837689,408985.6493,3660555.258
2014,5/1/2014,2014-p02-6,105,27.12,32,40.88,Clay,0.110867523,0.151553317,0.237714742,408985.6493,3660555.258
2014,5/1/2014,2014-p02-6,135,37.12,30,32.88,Clay Loam,0.091062395,0.116112747,,408985.6493,3660555.258
2014,5/1/2014,2014-p02-6,165,63.12,14,22.88,Sandy Clay Loam,0.066899176,0.077781913,0.14466706,408985.6493,3660555.258
2014,5/1/2014,2014-p03-1,15,57.12,15.44,27.44,Sandy Clay Loam,0.093880972,0.112334802,0.163168317,408957.1854,3660555.691
2014,5/1/2014,2014-p03-1,45,57.12,11.44,31.44,Sandy Clay Loam,0.112229679,0.13745583,0.187478618,408957.1854,3660555.691
2014,5/1/2014,2014-p03-1,75,51.12,15.44,33.44,Sandy Clay Loam,0.116587678,0.14797239,0.201268499,408957.1854,3660555.691
2014,5/1/2014,2014-p03-1,105,51.12,11.44,37.44,Sandy Clay,0.109731678,0.129824561,0.181883537,408957.1854,3660555.691
2014,5/1/2014,2014-p03-1,135,57.12,13.44,29.44,Sandy Clay Loam,0.084210526,0.1048717,0.158838878,408957.1854,3660555.691
2014,5/1/2014,2014-p03-1,165,53.12,17.44,29.44,Sandy Clay Loam,0.110578695,0.142389525,0.20409741,408957.1854,3660555.691
2014,5/1/2014,2014-p03-2,15,57.12,15.44,27.44,Sandy Clay Loam,0.098959975,0.116398494,0.183900732,408956.7675,3660526.487
2014,5/1/2014,2014-p03-2,45,63.12,7.44,29.44,Sandy Clay Loam,0.093813046,0.112565445,0.161627907,408956.7675,3660526.487
2014,5/1/2014,2014-p03-2,75,55.12,7.44,37.44,Sandy Clay,0.144064931,0.159767362,0.215783454,408956.7675,3660526.487
2014,5/1/2014,2014-p03-2,105,57.12,13.44,29.44,Sandy Clay Loam,0.121656882,0.133466135,0.183104631,408956.7675,3660526.487
2014,5/1/2014,2014-p03-2,135,57.12,9.44,33.44,Sandy Clay Loam,0.098076923,0.123994922,0.191530318,408956.7675,3660526.487
2014,5/1/2014,2014-p03-2,165,55.12,13.44,31.44,Sandy Clay Loam,0.085007728,0.113398465,0.169740309,408956.7675,3660526.487
2014,5/1/2014,2014-p03-3,15,61.84,12.72,25.44,Sandy Clay Loam,0.091707317,0.109285714,0.161619382,408956.3057,3660497.284
