Year,SOIL_DATE,Core,Depth,SLSND,SLSLT,SLCLY,SLTX,GWC15,GWC05,GWC.3,SLWP1,SLWP2,SLFC1,UTMX,UTMY
2009,2009-05-01,2009-p01-1,15.0,66.56,18.0,15.439999999999998,Sandy Loam,0.06231454005934717,0.08810888252148974,0.1456310679611651,0.09970326409495547,0.1409742120343836,0.23300970873786417,407590.45999999973,3659870.000000003
2009,2009-05-01,2009-p01-1,45.0,68.56,16.0,15.439999999999998,Sandy Loam,0.055539812978180614,0.0750622554251156,0.1284019539427775,0.08886370076508898,0.12009960868018497,0.20544312630844402,407590.45999999973,3659870.000000003
2009,2009-05-01,2009-p01-1,75.0,68.2,18.36,13.439999999999996,Sandy Loam,0.07550561797752808,0.11638853230637566,0.20478858889454934,0.12080898876404494,0.18622165169020108,0.327661742231279,407590.45999999973,3659870.000000003
2009,2009-05-01,2009-p01-1,105.0,56.04,19.799999999999997,24.160000000000004,Sandy Clay Loam,0.0759740259740261,0.09904270986745206,0.16260162601625983,0.12155844155844175,0.1584683357879233,0.26016260162601573,407590.45999999973,3659870.000000003
2009,2009-05-01,2009-p01-1,135.0,56.39999999999999,21.80000000000001,21.8,Sandy Clay Loam,0.07532701849345938,0.10115505775288713,0.17008130081300832,0.12052322958953501,0.16184809240461942,0.27213008130081334,407590.45999999973,3659870.000000003
2009,2009-05-01,2009-p01-1,165.0,60.4,17.799999999999997,21.8,Sandy Clay Loam,0.07621951219512195,0.10587853199090631,0.18045935107546499,0.12195121951219512,0.16940565118545012,0.288734961720744,407590.45999999973,3659870.000000003
2009,2009-05-01,2009-p01-2,15.0,63.67999999999999,17.760000000000005,18.560000000000002,Sandy Loam,0.06732295966973656,0.08146358301691402,0.14575033200531212,0.1077167354715785,0.13034173282706243,0.2332005312084994,407590.45999999973,3659896.500000003
2009,2009-05-01,2009-p01-2,45.0,70.03999999999999,13.760000000000005,16.2,Sandy Loam,0.05169776690119296,0.06702593465813411,0.12500000000000008,0.08271642704190874,0.10724149545301459,0.20000000000000015,407590.45999999973,3659896.500000003
2009,2009-05-01,2009-p01-2,75.0,76.4,9.399999999999991,14.2,Sandy Loam,0.04402742692168889,0.052376333656644194,0.1100190234622701,0.07044388307470223,0.08380213385063072,0.17603043753963218,407590.45999999973,3659896.500000003
2009,2009-05-01,2009-p01-2,105.0,66.4,13.039999999999992,20.560000000000002,Sandy Clay Loam,0.06396307286514993,0.08577194752774965,0.14807813484562077,0.1023409165842399,0.13723511604439945,0.23692501575299324,407590.45999999973,3659896.500000003
